store_id	fulfillment	subtotal	discount	service_fee	delivery_fee	tax	pretip_total
1150945	delivery	14.50	-3.63	0.99	0.00	0.65	12.51
1150945	pickup	14.50	-3.63	0.00	0.00	0.60	11.47
25060900	delivery	12.99	-3.25	0.99	0.00	0.59	11.32
25060900	pickup	12.99	-3.25	0.00	0.00	0.54	10.28
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
34162385	delivery	26.18	-10.89	1.31	0.00	0.91	17.51
23460971	delivery	16.25	-3.25	0.99	0.00	0.77	14.76
28054150	delivery	11.75	0.00	2.99	0.49	0.84	16.07
658055	delivery	10.89	0.00	2.99	1.49	0.85	16.22
35842845	delivery	19.95	0.00	1.00	0.00	1.15	22.10
294406	delivery	21.58	0.00	1.08	0.00	1.25	23.91
23235357	delivery	20.00	0.00	1.00	0.00	1.16	22.16
31578047	delivery	15.50	-5.00	0.99	0.00	0.63	12.12
1189168	delivery	15.90	-3.18	0.99	0.00	0.75	14.46
289066	delivery	16.00	-3.20	0.99	0.00	0.76	14.55
288845	delivery	14.00	0.00	0.99	0.00	0.82	15.81
600627	delivery	17.80	-3.56	0.99	0.00	0.84	16.07
379439	delivery	23.90	0.00	1.20	0.00	1.38	26.48
379459	delivery	23.90	0.00	1.20	0.00	1.38	26.48
1150945	delivery	20.00	-5.00	1.00	0.00	0.88	16.88
294393	delivery	7.80	0.00	2.99	1.49	0.68	12.96
288863	delivery	7.99	0.00	2.99	0.99	0.66	12.63
40009833	delivery	7.99	0.00	2.99	0.49	0.63	12.10
25994411	delivery	8.00	0.00	2.99	0.49	0.63	12.11
379439	delivery	17.10	0.00	0.99	0.00	0.99	19.08
379459	delivery	17.10	0.00	0.99	0.00	0.99	19.08
658055	delivery	14.38	0.00	0.99	0.00	0.84	16.21
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
34162385	delivery	19.58	0.00	0.99	0.00	1.13	21.70
800730	delivery	8.49	0.00	2.99	0.49	0.66	12.63
33449327	delivery	8.65	0.00	2.99	0.49	0.67	12.80
28087966	delivery	8.79	0.00	2.99	3.99	0.87	16.64
289082	delivery	8.95	0.00	2.99	0.49	0.68	13.11
31578047	delivery	7.00	0.00	2.99	0.49	0.58	11.06
606420	delivery	9.50	0.00	2.99	0.49	0.71	13.69
