store_id	campaign_id	title	description	source
1062843	15a469e6-1040-49ea-81c7-8a8ec35ec083	Spend $30, save $6	$6 off orders over $30.	wallet
1062843	8e452e42-9fde-4bd9-9478-298773ce4243	Spend $35, save $7	$7 off orders over $35.	wallet
1150945	165032fe-e8dc-4241-a1c3-0013ff8e09cb	Spend $25, save $5	$5 off orders over $25.	wallet
1150945	5423d154-f967-4e2f-866e-03e8621d232e	25% off on $12+	Up to $8 off	wallet
1189168	e27c8382-0998-461e-9cdd-5a403ad728ad	Spend $25, save $5	$5 off orders over $25.	wallet
1189168	63be9e3c-7955-4112-9867-429e79dea145	20% off on $15+	Up to $5 off	wallet
23120774	7839f045-8349-4e9b-b5d3-59ee7eb6d8e0	15% off on $35+	Up to $7 off	wallet
23235357	b43e04f0-25f2-4487-891d-c4b44a7c8365	Buy 1, get 1 free	Buy One Get One on any eligible item	wallet
23235357	5e59a087-99a6-480d-b7b9-5e21add29e2e	Spend $30, save $5	$5 off orders over $30.	wallet
23460971	c4a4c3b8-f122-4af4-bf1f-e02091c3a061	20% off on $15+	Up to $4 off	wallet
24419266	2cc29247-8a1d-4cdb-a901-02055d73a415	Buy 1, get 1 free	Buy One Get One on any eligible item	wallet
24482309	f0a56f26-ece6-4193-a49c-2f0e4ef284ac	Spend $25, save $5	$5 off orders over $25.	wallet
24817556	74c8de9f-3dd1-498d-b32c-e2198b9d2fbe	Spend $34, save $4	$4 off orders over $34.	wallet
25060900	24e871fb-a60c-4df5-846c-ecdced65258a	25% off on $12+	Up to $8 off	wallet
26268759	01bb8607-af6d-4633-ab43-bb27c8dd9d77	Buy 1, get 1 free	Buy One Get One on any eligible item	wallet
27488965	9e55a5a4-cbe3-454e-b2ea-86fdba88688f	Spend $20, save $5	$5 off orders over $20.	wallet
27488965	65d3f84c-e2cb-473a-9ded-c871b7b97834	Happy Hour: 30% off on $15+	Up to $7 off	wallet
2856399	9d611a05-7479-4817-af46-c280bbfd6b45	25% off on $12+	Up to $8 off	wallet
2856399	9d611a05-7479-4817-af46-c280bbfd6b45	Buy 1, get 1 free	Buy One Get One on any eligible item	wallet
288845	7bdeb7ca-da22-4796-9fad-7b5ffe1a0056	20% off on $25+	Up to $9 off	wallet
288868	8968e4ab-d41c-4172-9d80-882d4c0563a8	25% off on $12+	Up to $8 off	wallet
288931	0bcc69b8-87df-4cc2-ab0e-dfdd598d5f34	Spend $35, save $5	$5 off orders over $35.	wallet
288931	358087a9-2700-4185-8381-54ab2c335c15	$0 delivery fee	$0 delivery fee on orders over $15.	wallet
288931	4a18351f-75c4-4b52-8629-a4ad18fdde84	Deals: Spend $35, save $5	$5 off orders over $35.	wallet
289066	24089d3e-e2e3-40fb-b675-f08feb6a9ab2	Free item on orders $25+	Free/Reduced price item on orders over $25.	wallet
289066	6d9f0a2f-e359-491a-9cdd-21311f50d8f1	20% off on $15+	Up to $5 off	wallet
289066	22c9a036-ed10-481e-aa57-294b41387d70	Spend $25, save $5	$5 off orders over $25.	wallet
289182	6edd024e-b3c3-4b07-a826-f55475f5bb2e	15% off on $20+	Up to $4 off	wallet
289182	f086843c-1f63-402c-825e-5b5e080b906a	Happy Hour: 25% off on $30+	Up to $9 off	wallet
31578047	d93be74c-1dde-4df1-b6be-7908c86630d8	Spend $15, save $5	$5 off orders over $15.	wallet
32920268	5b4e7762-a4be-4495-a7dc-90f241250322	Spend $40, save $6	$6 off orders over $40.	wallet
33254259	b812fae2-4f92-4c55-8151-2e42696bbfb8	Happy Hour: 25% off select items	Discounts apply only to the base item price, excluding any additional charge for add-on options on any order Not valid f	wallet
33254259	6969e8e8-d831-4aa9-a5e3-64f9ffc3c577	25% off on $12+	Up to $8 off	wallet
