store_id	name	distance_km
294406	Subway	0.21
592083	QQ Express	0.43
28042387	Senjoy Chinese Cuisine	0.45
658055	McDonald's	0.49
28069947	Fresh Madison Market	0.51
30122514	Butterbird	0.51
600627	QDOBA Mexican Eats	0.55
25020817	Asian Noodle	0.55
23120774	Eat the Best Pizza	0.57
288983	Jordan's Big Ten Pub	0.60
288921	Forage Kitchen	0.61
288838	Nam's Noodle & Karaoke Bar	0.62
288850	Estacion Inka	0.62
1062843	Toppers Pizza	0.63
289117	Sushi Express	0.63
26182944	A8 China	0.64
592097	Poke Plus Madison	0.67
25596481	sweetgreen - Healthy Salads, Wraps, and Bowls	0.67
289082	Strings Ramen Shop Madison	0.68
1150945	Mediterranean Cafe	0.68
350727	Chipotle Mexican Grill	0.68
288918	Nitty Gritty-Madison	0.68
24482309	Jamba	0.68
1775734	Poke It Up	0.69
36042509	Popeyes Louisiana Kitchen	0.69
576539	Regent Mart & Cafe	0.70
23235357	Pure Green - Juice Bar State St.	0.70
289066	State Street Brats	0.70
35596781	Pink Flamingo Brunch Cafe	0.70
26268759	Chopsticks	0.72
31014406	Chin up 麦屯小吃	0.72
27488965	Comfort Fuel	0.73
288974	SconnieBar	0.74
29865524	Colectivo Coffee State St.	0.74
894883	Adamah Neighborhood Table	0.74
25600501	Papa Johns Pizza	0.75
294393	MOOYAH Burgers, Fries & Shakes	0.75
2827319	Cheba Hut "Toasted" Subs	0.75
28087966	Raising Cane's Chicken Fingers	0.76
800730	Kosharie	0.76
23460971	Naf Naf Grill	0.77
294455	Potbelly	0.77
32920268	SGD DUBU SO GONG DONG TOFU & KOREAN BBQ	0.77
42411861	Pink Heifer BBQ Saloon	0.78
29677328	Luchador Tequila & Taco Bar	0.80
2435548	Madistan Pakistani Indian Restaurant	0.83
1414475	Taste of Sichuan	0.83
1713028	Justveggiez	0.83
33449327	Paul's Pel'meni	0.84
1199294	Taco Bell Cantina	0.84
288863	Chen’s Dumpling House	0.85
667809	Panera Bread	0.86
288954	Bassett Street Brunch Club	0.86
2856399	Asian Kitchen	0.89
456241	Yume Sushi	0.89
288845	Los Gemelos Restaurant	0.92
34162385	Domino's Pizza	0.93
22969246	Stadium Takeout	0.93
1361983	Le C's Patisserie & Tea House	0.99
35499967	Ellipse Coffee & Crepes	1.00
29681730	Apex Grill	1.00
289182	Pizza Extreme	1.01
31992957	The Stuffed Olive - Madison	1.03
32569279	Double Tap (Tap Tap) - Madison	1.05
606420	Taiwan Little Eats	1.10
24817556	Marie's Soul Food	1.11
288920	Mad Seafood Boiler	1.11
289074	Parthenon Gyros	1.12
45410997	Taj Indian Cuisine & Bar	1.16
440496	The Globe	1.16
24474150	A La Brasa Mexican Grill	1.20
288956	Maharani Indian Restaurant	1.22
31074073	La Hacienda	1.24
24419266	Pizza Hut	1.25
33138267	Oishi	1.27
289152	Pizza Brutta	1.29
1189168	Sunny Pho	1.30
35842845	Ashirwad Indian Restaurant	1.35
288808	Cento	1.37
288895	The Coopers Tavern	1.48
41899955	Eloura Mediterranean Restaurant	1.51
288817	El Rancho Mexican Grill	1.54
25060900	The Mediterranean Joint	1.60
289146	Canteen	1.62
656008	Famous Dave's Bar-B-Que	1.64
36024959	Cafe MiMi	1.71
289042	Sol's on the Square	1.74
288959	Johnny Delmonico's Steakhouse	1.85
288868	Lucille	1.85
1464896	5 Star Korean BBQ&Fried Chicken	2.21
23953940	Taste Of India	2.60
288931	Sa-Bai Thong Thai Cuisine	2.76
23811140	Jacknife	3.01
40009833	Hmong Legacy Market	3.28
288862	Thai Basil	3.56
34692487	DeVine Grilling	3.66
31578047	Bambū	3.93
36157779	Liberty Station - Madison	4.05
24744074	Rocky Rococo Pan Style Pizza	4.14
289154	MonsoonSiam	5.17
605790	Teriyaki Sushi Express	5.29
37296867	Dreamy Teazy	5.69
288986	The Thirsty Goat	5.93
889456	Roll Play	6.14
23583656	Nori Sushi & Grill	6.22
605779	Takara Sushi Station	6.24
1223844	Viet Kitchen - pho & bánh mi	6.30
33254259	Zafferano Ristorante	6.42
379459	Noodles and Company	6.59
289134	Swad	6.65
379439	Noodles and Company	7.09
24599407	Yako Sushi House	7.12
37487521	Fried Shack	7.34
977240	Mirch Masala	7.61
25994411	Sake Sushi	7.63
288822	Akari Sushi	8.49
30801719	New Seoul Korean Restaurant	9.25
40244017	Thai Fusion	9.30
