rank	store_id	store_name	distance_km	item_id	item_name	category	price	qty	meals	promo_title	promo_math	subtotal	discount	service_low	service_high	delivery	tax_low	tax_high	total_low	total_high	per_meal_low	per_meal_high	fee_known	req_mods	flags
1	36042509	?		i_32877870578	Spicy Chicken Sandwich	Chicken Sandwiches	7.39	4	4	Buy 1, get 1 free	bogo	29.56	-14.78	1.48	1.48	0.00	0.90	0.90	17.16	17.16	4.29	4.29	1	0	eligible items only; store_not_in_census
2	34162385	Domino's Pizza	0.93	i_25295288449	Loaded Chicken – Crispy Bacon & Tomato	Chicken & Wings	9.79	2	2	Buy 1, get 1 free	bogo (delivery only)	19.58	-9.79	0.99	0.99	0.00	0.59	0.59	11.37	11.37	5.68	5.68	1	0	eligible items only
3	26268759	Chopsticks	0.72	i_24829566333	Veggie Teriyaki Bowl	Teriyaki Bowl	9.95	2	2	Buy 1, get 1 free	bogo	19.90	-9.95	1.00	2.99	0.00	0.60	0.71	11.55	13.65	5.78	6.83	0	0	eligible items only; service_fee_unknown_bracketed
4	23235357	Pure Green - Juice Bar State St.	0.70	i_38789555965	Custom Oatmeal	OATMEAL BOWLS	10.00	2	2	Buy 1, get 1 free	bogo	20.00	-10.00	1.00	2.99	0.00	0.61	0.72	11.61	13.71	5.80	6.86	0	0	eligible items only; service_fee_unknown_bracketed
5	31578047	Bambū	3.93	i_21570121716	Pandan Waffle_1	WAFFLES	7.75	2	2	Spend $15, save $5	spend $15.00 save $5.00	15.50	-5.00	0.99	2.99	0.00	0.63	0.74	12.12	14.23	6.06	7.12	0	0	service_fee_unknown_bracketed
6	1189168	Sunny Pho	1.30	i_7617735516	Vegan Sandwiches	Bahn Mi Sandwiches	7.95	2	2	20% off on $15+	pct 20% min $15.00, cap $5.00	15.90	-3.18	0.99	2.99	0.00	0.75	0.86	14.46	16.57	7.23	8.29	0	0	service_fee_unknown_bracketed
7	289066	State Street Brats	0.70	i_8127110664	Chicken Tenders*	Chicken*	8.00	2	2	20% off on $15+	pct 20% min $15.00, cap $5.00	16.00	-3.20	0.99	2.99	0.00	0.76	0.87	14.55	16.66	7.28	8.33	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
8	288845	Los Gemelos Restaurant	0.92	i_43753772052	TOSTADAS CEVICHE	EVERY DAY SPECIALS	7.00	2	2	(none)	-	14.00	0.00	0.99	2.99	0.00	0.83	0.94	15.82	17.93	7.91	8.96	0	0	service_fee_unknown_bracketed
9	600627	QDOBA Mexican Eats	0.55	i_3389330145	Create Your Own Mini Bowl	Bowls	8.90	2	2	20% off on $15+	pct 20% min $15.00, cap $4.00	17.80	-3.56	0.99	2.99	0.00	0.84	0.95	16.07	18.18	8.04	9.09	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
10	379439	Noodles and Company	7.09	i_24166867000	Spaghetti & Meatballs	Chef-Curated with Protein	7.15	2	2	(none)	-	14.30	0.00	0.99	2.99	0.00	0.84	0.95	16.13	18.24	8.06	9.12	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
11	379459	Noodles and Company	6.59	i_24166950596	Spaghetti & Meatballs	Chef-Curated with Protein	7.15	2	2	(none)	-	14.30	0.00	0.99	2.99	0.00	0.84	0.95	16.13	18.24	8.06	9.12	0	1	required_modifiers_may_raise_price; service_fee_unknown_bracketed
12	23811140	Jacknife	3.01	i_8357178980	AVOCADO ROLL	Vegan Rolls	7.20	2	2	(none)	-	14.40	0.00	0.99	2.99	0.00	0.85	0.96	16.24	18.35	8.12	9.18	0	0	service_fee_unknown_bracketed
